model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_B,EMAMILTD,2024-01-25,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,2.0,True
MODEL_C,EMAMILTD,2024-01-25,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,2.0,True
MODEL_D,EMAMILTD,2024-01-25,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,100,2.0,True
MODEL_A,EMAMILTD,2024-02-02,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,EMAMILTD,2024-02-02,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_C,EMAMILTD,2024-02-02,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_A,EMAMILTD,2024-02-16,TRAIN,SIDEWAYS,DEMAND,3,False,7.0,9.5,96,-1.0,False
MODEL_B,EMAMILTD,2024-02-16,TRAIN,SIDEWAYS,DEMAND,3,False,7.0,9.5,96,-1.0,False
MODEL_B,EMAMILTD,2024-02-23,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,2.0,True
MODEL_C,EMAMILTD,2024-02-23,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_D,EMAMILTD,2024-02-23,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,2.0,True
MODEL_E,EMAMILTD,2024-02-23,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,2.0,True
MODEL_A,EMAMILTD,2024-03-01,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_B,EMAMILTD,2024-03-01,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_C,EMAMILTD,2024-03-01,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_D,EMAMILTD,2024-03-01,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_A,EMAMILTD,2024-03-11,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_B,EMAMILTD,2024-03-11,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_A,EMAMILTD,2024-03-18,TRAIN,BEAR,DEMAND,3,False,7.0,11.0,96,-1.0,False
MODEL_B,EMAMILTD,2024-03-18,TRAIN,BEAR,DEMAND,3,False,7.0,11.0,96,-1.0,False
MODEL_C,EMAMILTD,2024-03-18,TRAIN,BEAR,DEMAND,3,False,7.0,11.0,96,2.0,True
MODEL_D,EMAMILTD,2024-03-18,TRAIN,BEAR,DEMAND,3,False,7.0,11.0,96,2.0,True
MODEL_A,EMAMILTD,2024-03-26,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,EMAMILTD,2024-03-26,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,EMAMILTD,2024-03-26,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,EMAMILTD,2024-03-26,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,EMAMILTD,2024-03-26,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,EMAMILTD,2024-04-03,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,82,2.0,True
MODEL_B,EMAMILTD,2024-04-03,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,82,-1.0,False
MODEL_C,EMAMILTD,2024-04-03,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,82,-1.0,False
MODEL_D,EMAMILTD,2024-04-03,TRAIN,BEAR,DEMAND,2,False,7.0,10.0,82,2.0,True
MODEL_A,EMAMILTD,2024-04-10,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,-1.0,False
MODEL_B,EMAMILTD,2024-04-10,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_C,EMAMILTD,2024-04-10,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_D,EMAMILTD,2024-04-10,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_A,EMAMILTD,2024-04-19,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_B,EMAMILTD,2024-04-19,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_C,EMAMILTD,2024-04-19,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_D,EMAMILTD,2024-04-19,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_E,EMAMILTD,2024-04-19,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_A,EMAMILTD,2024-04-26,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,12.5,92,-1.0,False
MODEL_B,EMAMILTD,2024-04-26,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,12.5,92,-1.0,False
MODEL_C,EMAMILTD,2024-04-26,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,12.5,92,-1.0,False
MODEL_D,EMAMILTD,2024-04-26,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,12.5,92,-1.0,False
MODEL_E,EMAMILTD,2024-04-26,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,12.5,92,-1.0,False
MODEL_A,EMAMILTD,2024-05-06,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,96,-1.0,False
MODEL_B,EMAMILTD,2024-05-06,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,96,-1.0,False
MODEL_C,EMAMILTD,2024-05-06,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,96,-1.0,False
MODEL_D,EMAMILTD,2024-05-06,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,96,-1.0,False
MODEL_E,EMAMILTD,2024-05-06,TRAIN,BULL,SUPPLY,3,False,7.0,12.5,96,-1.0,False
MODEL_A,EMAMILTD,2024-05-13,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,96,-1.0,False
MODEL_B,EMAMILTD,2024-05-13,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,96,-1.0,False
MODEL_C,EMAMILTD,2024-05-13,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,96,-1.0,False
MODEL_D,EMAMILTD,2024-05-13,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,96,-1.0,False
MODEL_E,EMAMILTD,2024-05-13,TRAIN,BULL,SUPPLY,3,False,7.0,9.5,96,-1.0,False
MODEL_A,EMAMILTD,2024-05-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_B,EMAMILTD,2024-05-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,64,2.0,True
