model,symbol,date,split,regime,direction,confluence,is_atz,gtf_7,gtf_13,conviction,pnl_r,is_win
MODEL_A,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_B,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_C,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_D,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_E,RELIANCE,2022-06-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,10.5,60,-1.0,False
MODEL_A,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_C,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_D,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_E,RELIANCE,2022-06-23,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_A,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_C,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_D,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_E,RELIANCE,2022-06-30,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,2.0,True
MODEL_A,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_C,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_E,RELIANCE,2022-07-08,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_A,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,2.0,True
MODEL_C,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-07-15,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_B,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_D,RELIANCE,2022-07-22,TRAIN,BEAR,DEMAND,2,False,7.0,8.5,82,2.0,True
MODEL_A,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-07-29,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-08-05,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,60,-1.0,False
MODEL_B,RELIANCE,2022-08-05,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,60,-1.0,False
MODEL_A,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_C,RELIANCE,2022-08-16,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,7.5,64,-1.0,False
MODEL_A,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_B,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_C,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,2.0,True
MODEL_D,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_E,RELIANCE,2022-08-23,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_A,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_B,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_C,RELIANCE,2022-08-30,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_A,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_B,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,-1.0,False
MODEL_D,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_E,RELIANCE,2022-09-07,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,10.0,86,2.0,True
MODEL_A,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_B,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_D,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_E,RELIANCE,2022-09-14,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_A,RELIANCE,2022-09-21,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_B,RELIANCE,2022-09-21,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_A,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,-1.0,False
MODEL_B,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_D,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_E,RELIANCE,2022-09-28,TRAIN,BEAR,DEMAND,2,False,7.0,11.5,82,2.0,True
MODEL_A,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_B,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_C,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_D,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_E,RELIANCE,2022-10-06,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_A,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-10-13,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_D,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2022-10-28,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_B,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_C,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_D,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_E,RELIANCE,2022-11-04,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,64,-1.0,False
MODEL_A,RELIANCE,2022-11-14,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,2.0,True
MODEL_B,RELIANCE,2022-11-14,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,2.0,True
MODEL_C,RELIANCE,2022-11-14,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_D,RELIANCE,2022-11-14,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_E,RELIANCE,2022-11-14,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_A,RELIANCE,2022-11-21,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2022-11-21,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_C,RELIANCE,2022-11-21,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_D,RELIANCE,2022-11-21,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_A,RELIANCE,2022-11-29,TRAIN,BULL,SUPPLY,1,False,7.0,10.5,64,-1.0,False
MODEL_B,RELIANCE,2022-11-29,TRAIN,BULL,SUPPLY,1,False,7.0,10.5,64,2.0,True
MODEL_C,RELIANCE,2022-11-29,TRAIN,BULL,SUPPLY,1,False,7.0,10.5,64,2.0,True
MODEL_D,RELIANCE,2022-11-29,TRAIN,BULL,SUPPLY,1,False,7.0,10.5,64,2.0,True
MODEL_A,RELIANCE,2022-12-06,TRAIN,BULL,DEMAND,2,False,7.0,8.5,86,-1.0,False
MODEL_B,RELIANCE,2022-12-06,TRAIN,BULL,DEMAND,2,False,7.0,8.5,86,-1.0,False
MODEL_C,RELIANCE,2022-12-06,TRAIN,BULL,DEMAND,2,False,7.0,8.5,86,-1.0,False
MODEL_D,RELIANCE,2022-12-06,TRAIN,BULL,DEMAND,2,False,7.0,8.5,86,-1.0,False
MODEL_E,RELIANCE,2022-12-06,TRAIN,BULL,DEMAND,2,False,7.0,8.5,86,-1.0,False
MODEL_A,RELIANCE,2022-12-20,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,68,2.0,True
MODEL_B,RELIANCE,2022-12-20,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,68,2.0,True
MODEL_D,RELIANCE,2022-12-20,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_E,RELIANCE,2022-12-20,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,9.0,68,-1.0,False
MODEL_A,RELIANCE,2022-12-27,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,2.0,True
MODEL_B,RELIANCE,2022-12-27,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,2.0,True
MODEL_C,RELIANCE,2022-12-27,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_D,RELIANCE,2022-12-27,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_E,RELIANCE,2022-12-27,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,86,-1.0,False
MODEL_A,RELIANCE,2023-01-03,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_B,RELIANCE,2023-01-03,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,2.0,True
MODEL_C,RELIANCE,2023-01-03,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_D,RELIANCE,2023-01-03,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_E,RELIANCE,2023-01-03,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,64,-1.0,False
MODEL_A,RELIANCE,2023-01-10,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_B,RELIANCE,2023-01-10,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_D,RELIANCE,2023-01-10,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-02-01,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,-1.0,False
MODEL_B,RELIANCE,2023-02-01,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_C,RELIANCE,2023-02-01,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_D,RELIANCE,2023-02-01,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_E,RELIANCE,2023-02-01,TRAIN,BEAR,SUPPLY,1,False,7.0,7.5,64,2.0,True
MODEL_A,RELIANCE,2023-02-08,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2023-02-08,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2023-02-08,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2023-02-08,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,2.0,True
MODEL_E,RELIANCE,2023-02-08,TRAIN,BEAR,SUPPLY,1,False,7.0,9.0,60,2.0,True
MODEL_A,RELIANCE,2023-02-15,TRAIN,BEAR,SUPPLY,2,False,7.0,11.5,82,-1.0,False
MODEL_B,RELIANCE,2023-02-15,TRAIN,BEAR,SUPPLY,2,False,7.0,11.5,82,2.0,True
MODEL_C,RELIANCE,2023-02-15,TRAIN,BEAR,SUPPLY,2,False,7.0,11.5,82,2.0,True
MODEL_D,RELIANCE,2023-02-15,TRAIN,BEAR,SUPPLY,2,False,7.0,11.5,82,2.0,True
MODEL_E,RELIANCE,2023-02-15,TRAIN,BEAR,SUPPLY,2,False,7.0,11.5,82,2.0,True
MODEL_A,RELIANCE,2023-02-22,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_B,RELIANCE,2023-02-22,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_C,RELIANCE,2023-02-22,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_D,RELIANCE,2023-02-22,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_E,RELIANCE,2023-02-22,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_A,RELIANCE,2023-03-01,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_B,RELIANCE,2023-03-01,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_C,RELIANCE,2023-03-01,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,-1.0,False
MODEL_D,RELIANCE,2023-03-01,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_E,RELIANCE,2023-03-01,TRAIN,BEAR,SUPPLY,2,False,7.0,8.5,82,2.0,True
MODEL_A,RELIANCE,2023-03-09,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_B,RELIANCE,2023-03-09,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_C,RELIANCE,2023-03-09,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2023-03-09,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_E,RELIANCE,2023-03-09,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,-1.0,False
MODEL_A,RELIANCE,2023-03-23,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_B,RELIANCE,2023-03-23,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_D,RELIANCE,2023-03-23,TRAIN,BEAR,DEMAND,1,False,7.0,7.5,60,2.0,True
MODEL_A,RELIANCE,2023-03-31,TRAIN,BEAR,SUPPLY,1,False,7.0,10.5,60,-1.0,False
MODEL_B,RELIANCE,2023-03-31,TRAIN,BEAR,SUPPLY,1,False,7.0,10.5,60,-1.0,False
MODEL_C,RELIANCE,2023-03-31,TRAIN,BEAR,SUPPLY,1,False,7.0,10.5,60,-1.0,False
MODEL_D,RELIANCE,2023-03-31,TRAIN,BEAR,SUPPLY,1,False,7.0,10.5,60,-1.0,False
MODEL_E,RELIANCE,2023-03-31,TRAIN,BEAR,SUPPLY,1,False,7.0,10.5,60,-1.0,False
MODEL_A,RELIANCE,2023-04-11,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_B,RELIANCE,2023-04-11,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2023-04-11,TRAIN,BEAR,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_A,RELIANCE,2023-04-19,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_B,RELIANCE,2023-04-19,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_C,RELIANCE,2023-04-19,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_D,RELIANCE,2023-04-19,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_E,RELIANCE,2023-04-19,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_A,RELIANCE,2023-04-26,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_B,RELIANCE,2023-04-26,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_C,RELIANCE,2023-04-26,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_D,RELIANCE,2023-04-26,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_E,RELIANCE,2023-04-26,TRAIN,BEAR,SUPPLY,2,False,7.0,10.0,82,-1.0,False
MODEL_A,RELIANCE,2023-05-11,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,8.5,86,2.0,True
MODEL_B,RELIANCE,2023-05-11,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,8.5,86,2.0,True
MODEL_D,RELIANCE,2023-05-11,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,8.5,86,2.0,True
MODEL_E,RELIANCE,2023-05-11,TRAIN,SIDEWAYS,DEMAND,2,False,7.0,8.5,86,2.0,True
MODEL_A,RELIANCE,2023-05-18,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_B,RELIANCE,2023-05-18,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,60,2.0,True
MODEL_C,RELIANCE,2023-05-18,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_D,RELIANCE,2023-05-18,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_E,RELIANCE,2023-05-18,TRAIN,SIDEWAYS,SUPPLY,1,False,7.0,7.5,60,-1.0,False
MODEL_A,RELIANCE,2023-05-25,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_B,RELIANCE,2023-05-25,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_C,RELIANCE,2023-05-25,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_D,RELIANCE,2023-05-25,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_E,RELIANCE,2023-05-25,TRAIN,SIDEWAYS,DEMAND,1,False,7.0,9.0,60,2.0,True
MODEL_A,RELIANCE,2023-06-08,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,11.0,96,-1.0,False
MODEL_B,RELIANCE,2023-06-08,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,11.0,96,-1.0,False
MODEL_C,RELIANCE,2023-06-08,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,11.0,96,-1.0,False
MODEL_D,RELIANCE,2023-06-08,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,11.0,96,-1.0,False
MODEL_E,RELIANCE,2023-06-08,TRAIN,SIDEWAYS,SUPPLY,3,False,7.0,11.0,96,-1.0,False
MODEL_A,RELIANCE,2023-06-22,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,2.0,True
MODEL_B,RELIANCE,2023-06-22,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_C,RELIANCE,2023-06-22,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_D,RELIANCE,2023-06-22,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_E,RELIANCE,2023-06-22,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,10.0,86,-1.0,False
MODEL_A,RELIANCE,2023-06-30,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_B,RELIANCE,2023-06-30,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_E,RELIANCE,2023-06-30,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_A,RELIANCE,2023-07-07,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,RELIANCE,2023-07-07,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_E,RELIANCE,2023-07-07,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-07-14,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_E,RELIANCE,2023-07-14,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_A,RELIANCE,2023-07-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_B,RELIANCE,2023-07-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_C,RELIANCE,2023-07-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_D,RELIANCE,2023-07-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_E,RELIANCE,2023-07-21,TRAIN,BULL,DEMAND,1,False,7.0,9.0,68,-1.0,False
MODEL_A,RELIANCE,2023-07-28,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,2.0,True
MODEL_B,RELIANCE,2023-07-28,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_C,RELIANCE,2023-07-28,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_D,RELIANCE,2023-07-28,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_E,RELIANCE,2023-07-28,TRAIN,BULL,DEMAND,1,False,7.0,7.5,68,-1.0,False
MODEL_A,RELIANCE,2023-08-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,RELIANCE,2023-08-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_D,RELIANCE,2023-08-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-08-11,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,RELIANCE,2023-08-11,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_C,RELIANCE,2023-08-11,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_D,RELIANCE,2023-08-11,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-08-21,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_B,RELIANCE,2023-08-21,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_C,RELIANCE,2023-08-21,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_D,RELIANCE,2023-08-21,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-09-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,-1.0,False
MODEL_B,RELIANCE,2023-09-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_D,RELIANCE,2023-09-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_E,RELIANCE,2023-09-04,TRAIN,BULL,SUPPLY,2,False,7.0,10.0,90,2.0,True
MODEL_A,RELIANCE,2023-09-11,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,-1.0,False
MODEL_B,RELIANCE,2023-09-11,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_D,RELIANCE,2023-09-11,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_E,RELIANCE,2023-09-11,TRAIN,BULL,SUPPLY,3,False,7.0,11.0,100,2.0,True
MODEL_B,RELIANCE,2023-09-26,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,90,2.0,True
MODEL_C,RELIANCE,2023-09-26,TRAIN,SIDEWAYS,SUPPLY,2,False,7.0,8.5,90,2.0,True
